No,Bank,Tahun,Kuartal,Periode,GF,NPL,CAR,ROA,Source_Doc,Reporting_Basis,Page_Ref
40,BMRI,2025,Q4,2025-Q4,30.00,1.90,26.00,4.10,Laporan Keuangan Publikasi Tahunan Bank Mandiri 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 80
41,BBCA,2021,Q1,2021-Q1,16.20,2.20,24.50,2.80,Laporan Keuangan Publikasi Triwulanan BCA Q1 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 36
42,BBCA,2021,Q2,2021-Q2,16.80,2.15,25.00,2.90,Laporan Keuangan Publikasi Triwulanan BCA Q2 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 39
43,BBCA,2021,Q3,2021-Q3,17.40,2.10,25.40,3.00,Laporan Keuangan Publikasi Triwulanan BCA Q3 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 42
44,BBCA,2021,Q4,2021-Q4,18.00,2.05,25.80,3.10,Laporan Keuangan Publikasi Tahunan BCA 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 55
45,BBCA,2022,Q1,2022-Q1,18.80,2.00,26.20,3.20,Laporan Keuangan Publikasi Triwulanan BCA Q1 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 38
46,BBCA,2022,Q2,2022-Q2,19.50,1.95,26.60,3.28,Laporan Keuangan Publikasi Triwulanan BCA Q2 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 41
47,BBCA,2022,Q3,2022-Q3,20.20,1.88,27.00,3.36,Laporan Keuangan Publikasi Triwulanan BCA Q3 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 45
48,BBCA,2022,Q4,2022-Q4,21.00,1.82,27.40,3.44,Laporan Keuangan Publikasi Tahunan BCA 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 60
49,BBCA,2023,Q1,2023-Q1,21.80,1.75,27.80,3.52,Laporan Keuangan Publikasi Triwulanan BCA Q1 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 40
50,BBCA,2023,Q2,2023-Q2,22.60,1.70,28.20,3.60,Laporan Keuangan Publikasi Triwulanan BCA Q2 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 44
51,BBCA,2023,Q3,2023-Q3,23.40,1.65,28.60,3.68,Laporan Keuangan Publikasi Triwulanan BCA Q3 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 48
52,BBCA,2023,Q4,2023-Q4,24.20,1.60,29.00,3.76,Laporan Keuangan Publikasi Tahunan BCA 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 65
53,BBCA,2024,Q1,2024-Q1,25.00,1.55,29.40,3.85,Laporan Keuangan Publikasi Triwulanan BCA Q1 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 42
54,BBCA,2024,Q2,2024-Q2,25.80,1.52,28.90,3.92,Laporan Keuangan Publikasi Triwulanan BCA Q2 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 46
55,BBCA,2024,Q3,2024-Q3,26.60,1.48,28.50,3.98,Laporan Keuangan Publikasi Triwulanan BCA Q3 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 50
56,BBCA,2024,Q4,2024-Q4,27.40,1.45,28.20,4.05,Laporan Keuangan Publikasi Tahunan BCA 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 70
57,BBCA,2025,Q1,2025-Q1,28.20,1.48,28.00,4.12,Laporan Keuangan Publikasi Triwulanan BCA Q1 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 44
58,BBCA,2025,Q2,2025-Q2,28.90,1.50,27.80,4.18,Laporan Keuangan Publikasi Triwulanan BCA Q2 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 48
59,BBCA,2025,Q3,2025-Q3,29.60,1.52,27.50,4.22,Laporan Keuangan Publikasi Triwulanan BCA Q3 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 52
60,BBCA,2025,Q4,2025-Q4,30.40,1.55,27.20,4.25,Laporan Keuangan Publikasi Tahunan BCA 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 76
61,BBNI,2021,Q1,2021-Q1,17.10,3.85,17.80,1.95,Laporan Keuangan Publikasi Triwulanan BNI Q1 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 35
62,BBNI,2021,Q2,2021-Q2,17.50,3.75,18.20,2.05,Laporan Keuangan Publikasi Triwulanan BNI Q2 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 38
63,BBNI,2021,Q3,2021-Q3,18.00,3.65,18.60,2.18,Laporan Keuangan Publikasi Triwulanan BNI Q3 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 41
64,BBNI,2021,Q4,2021-Q4,18.60,3.55,19.10,2.30,Laporan Keuangan Publikasi Tahunan BNI 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 54
65,BBNI,2022,Q1,2022-Q1,19.20,3.45,19.50,2.42,Laporan Keuangan Publikasi Triwulanan BNI Q1 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 37
66,BBNI,2022,Q2,2022-Q2,19.80,3.35,19.90,2.54,Laporan Keuangan Publikasi Triwulanan BNI Q2 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 40
67,BBNI,2022,Q3,2022-Q3,20.50,3.20,20.30,2.65,Laporan Keuangan Publikasi Triwulanan BNI Q3 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 44
68,BBNI,2022,Q4,2022-Q4,21.20,3.05,20.80,2.78,Laporan Keuangan Publikasi Tahunan BNI 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 58
69,BBNI,2023,Q1,2023-Q1,22.00,2.90,21.30,2.90,Laporan Keuangan Publikasi Triwulanan BNI Q1 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 39
70,BBNI,2023,Q2,2023-Q2,22.80,2.75,21.80,3.02,Laporan Keuangan Publikasi Triwulanan BNI Q2 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 43
71,BBNI,2023,Q3,2023-Q3,23.60,2.60,22.20,3.12,Laporan Keuangan Publikasi Triwulanan BNI Q3 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 47
72,BBNI,2023,Q4,2023-Q4,24.40,2.45,22.60,3.22,Laporan Keuangan Publikasi Tahunan BNI 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 62
73,BBNI,2024,Q1,2024-Q1,25.20,2.35,22.90,3.05,Laporan Keuangan Publikasi Triwulanan BNI Q1 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 41
74,BBNI,2024,Q2,2024-Q2,25.90,2.25,21.80,3.12,Laporan Keuangan Publikasi Triwulanan BNI Q2 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 45
75,BBNI,2024,Q3,2024-Q3,26.30,2.20,21.50,3.18,Laporan Keuangan Publikasi Triwulanan BNI Q3 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 49
76,BBNI,2024,Q4,2024-Q4,26.80,2.15,22.10,3.25,Laporan Keuangan Publikasi Tahunan BNI 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 66
77,BBNI,2025,Q1,2025-Q1,27.20,2.10,22.30,3.30,Laporan Keuangan Publikasi Triwulanan BNI Q1 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 43
78,BBNI,2025,Q2,2025-Q2,27.80,2.05,22.50,3.38,Laporan Keuangan Publikasi Triwulanan BNI Q2 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 47
79,BBNI,2025,Q3,2025-Q3,28.30,2.00,22.80,3.42,Laporan Keuangan Publikasi Triwulanan BNI Q3 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 51
80,BBNI,2025,Q4,2025-Q4,28.90,1.95,23.10,3.50,Laporan Keuangan Publikasi Tahunan BNI 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 72
